Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Recurrent Process Mining with Live Event Data,Business Process Management Workshops,,,,10.1007/978-3-319-74030-0_13,Alifah SyamsiyahBoudewijn F. van DongenWil M. P. van der Aalst,2018,http://link.springer.com/chapter/10.1007/978-3-319-74030-0_13,Chapter
Space-Time Cube Operations in Process Mining,The Practice of Enterprise Modeling,,,,10.1007/978-3-030-63479-7_28,Dina BayomieLukas PfahlsbergerKate RevoredoJan Mendling,2020,http://link.springer.com/chapter/10.1007/978-3-030-63479-7_28,Chapter
Decomposing Process Mining Problems Using Passages,Application and Theory of Petri Nets,,,,10.1007/978-3-642-31131-4_5,Wil M. P. van der Aalst,2012,http://link.springer.com/chapter/10.1007/978-3-642-31131-4_5,Chapter
"PM
                  
                    
                  
                  $$^2$$
                : A Process Mining Project Methodology",Advanced Information Systems Engineering,,,,10.1007/978-3-319-19069-3_19,Maikel L. van EckXixi LuSander J. J. LeemansWil M. P. van der Aalst,2015,http://link.springer.com/chapter/10.1007/978-3-319-19069-3_19,Chapter
Interactive log-delta analysis using multi-range filtering,Software and Systems Modeling,,,,10.1007/s10270-021-00902-0,Maxim VidgofDjordje DjuricaSaimir BalaJan Mendling,2021,http://link.springer.com/article/10.1007/s10270-021-00902-0,Article
Process Mining,Encyclopedia of Database Systems,,,,10.1007/978-1-4899-7993-3_1477-2,W. M. P. van der Aalst,2016,http://link.springer.com/referenceworkentry/10.1007/978-1-4899-7993-3_1477-2,ReferenceWorkEntry
Process Mining,Encyclopedia of Database Systems,,,,10.1007/978-1-4614-8265-9_1477,W. M. P. van der Aalst,2018,http://link.springer.com/referenceworkentry/10.1007/978-1-4614-8265-9_1477,ReferenceWorkEntry
Predictive Process Mining Meets Computer Vision,Business Process Management Forum,,,,10.1007/978-3-030-58638-6_11,Vincenzo PasquadibisceglieAnnalisa AppiceGiovanna CastellanoDonato Malerba,2020,http://link.springer.com/chapter/10.1007/978-3-030-58638-6_11,Chapter
Desire Lines in Big Data,Encyclopedia of Social Network Analysis and Mining,,,,10.1007/978-1-4939-7131-2_396,Wil M. P. van der Aalst,2018,http://link.springer.com/referenceworkentry/10.1007/978-1-4939-7131-2_396,ReferenceWorkEntry
Desire Lines in Big Data,Encyclopedia of Social Network Analysis and Mining,,,,10.1007/978-1-4614-7163-9_396-1,Wil M. P. van der Aalst,2017,http://link.springer.com/referenceworkentry/10.1007/978-1-4614-7163-9_396-1,ReferenceWorkEntry
Innovations in Smart Cities Applications Volume 4,Lecture Notes in Networks and Systems,,,,10.1007/978-3-030-66840-2,Prof. Dr. Mohamed Ben AhmedProf. Dr. İsmail Rakıp KarașProf. Dr. Domingos SantosDr. Olga SergeyevaProf. Anouar Abdelhakim Boudhir,2021,http://link.springer.com/book/10.1007/978-3-030-66840-2,Book
Event Log Cleaning for Business Process Analytics,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_87-1,Andreas Solti,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_87-1,ReferenceWorkEntry
Distributed Process Discovery and Conformance Checking,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-642-28872-2_1,Wil M. P. van der Aalst,2012,http://link.springer.com/chapter/10.1007/978-3-642-28872-2_1,Chapter
OTOSO: Online Trace Ordering for Structural Overviews,Process Mining Workshops,,,,10.1007/978-3-030-72693-5_17,Florian RichterAndrea MaldonadoLudwig ZellnerThomas Seidl,2021,http://link.springer.com/chapter/10.1007/978-3-030-72693-5_17,Chapter
Process Mining for Maintenance Decision Support,System Performance and Management Analytics,,,,10.1007/978-981-10-7323-6_23,Adithya ThaduriStephen Mayowa FamurewaAjit Kumar VermaUday Kumar,2019,http://link.springer.com/chapter/10.1007/978-981-10-7323-6_23,Chapter
Systematic Mapping Study on Process Mining in Agile Software Development,Software Process Improvement and Capability Determination,,,,10.1007/978-3-030-00623-5_20,Sezen ErdemOnur DemirörsFethi Rabhi,2018,http://link.springer.com/chapter/10.1007/978-3-030-00623-5_20,Chapter
Configurable Services in the Cloud: Supporting Variability While Enabling Cross-Organizational Process Mining,On the Move to Meaningful Internet Systems: OTM 2010,,,,10.1007/978-3-642-16934-2_5,Wil M. P. van der Aalst,2010,http://link.springer.com/chapter/10.1007/978-3-642-16934-2_5,Chapter
Applying Clustering in Process Mining to Find Different Versions of a Business Process That Changes over Time,Business Process Management Workshops,,,,10.1007/978-3-642-28108-2_15,Daniela LuengoMarcos Sepúlveda,2012,http://link.springer.com/chapter/10.1007/978-3-642-28108-2_15,Chapter
Artificial Intelligence for Information Management: A Healthcare Perspective,Studies in Big Data,,,,10.1007/978-981-16-0415-7,Dr. K. G. SrinivasaDr. Siddesh G. M.Dr. S. R. Mani Sekhar,2021,http://link.springer.com/book/10.1007/978-981-16-0415-7,Book
Turning event logs into process movies: animating what has really happened,Software & Systems Modeling,,15.0,3,10.1007/s10270-014-0432-2,Massimiliano de LeoniSuriadi SuriadiArthur H. M. ter HofstedeWil M. P. van der Aalst,2016,http://link.springer.com/article/10.1007/s10270-014-0432-2,Article
Analyzing Process Concept Drifts Based on Sensor Event Streams During Runtime,Business Process Management,,,,10.1007/978-3-030-58666-9_12,Florian StertzStefanie Rinderle-MaJuergen Mangler,2020,http://link.springer.com/chapter/10.1007/978-3-030-58666-9_12,Chapter
Identifying Cohorts: Recommending Drill-Downs Based on Differences in Behaviour for Process Mining,Conceptual Modeling,,,,10.1007/978-3-030-62522-1_7,Sander J. J. LeemansShiva ShabaninejadKanika GoelHassan KhosraviShazia SadiqMoe Thandar Wynn,2020,http://link.springer.com/chapter/10.1007/978-3-030-62522-1_7,Chapter
Multidimensional Process Mining Using Process Cubes,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-319-19237-6_7,Alfredo BoltWil M. P. van der Aalst,2015,http://link.springer.com/chapter/10.1007/978-3-319-19237-6_7,Chapter
Desire Lines in Big Data,Encyclopedia of Social Network Analysis and Mining,,,,10.1007/978-1-4614-6170-8_396,Wil M. P. van der Aalst,2014,http://link.springer.com/referenceworkentry/10.1007/978-1-4614-6170-8_396,ReferenceWorkEntry
Visual Analytics Meets Process Mining: Challenges and Opportunities,Data-Driven Process Discovery and Analysis,,,,10.1007/978-3-319-53435-0_7,Theresia Gschwandtner,2017,http://link.springer.com/chapter/10.1007/978-3-319-53435-0_7,Chapter
Streaming Process Discovery and Conformance Checking,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_103-1,Andrea Burattin,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_103-1,ReferenceWorkEntry
Computational Science – ICCS 2020,Lecture Notes in Computer Science,,,,10.1007/978-3-030-50423-6,Dr. Valeria V. KrzhizhanovskayaDr. Gábor ZávodszkyMichael H. LeesProf. Jack J. DongarraProf. Dr. Peter M. A. SlootSérgio BrissosJoão Teixeira,2020,http://link.springer.com/book/10.1007/978-3-030-50423-6,Book
Designing Process Diagrams – A Framework for Making Design Choices When Visualizing Process Mining Outputs,On the Move to Meaningful Internet Systems. OTM 2018 Conferences,,,,10.1007/978-3-030-02610-3_26,Marit SirgmetsFredrik MilaniAlexander NolteTaivo Pungas,2018,http://link.springer.com/chapter/10.1007/978-3-030-02610-3_26,Chapter
The ClearPath Method for Care Pathway Process Mining and Simulation,Business Process Management Workshops,,,,10.1007/978-3-030-11641-5_19,Owen A. JohnsonThamer Ba DhafariAngelina KurniatiFrank FoxEric Rojas,2019,http://link.springer.com/chapter/10.1007/978-3-030-11641-5_19,Chapter
Process Minding: Closing the Big Data Gap,Business Process Management,,,,10.1007/978-3-030-58666-9_1,Avigdor GalArik Senderovich,2020,http://link.springer.com/chapter/10.1007/978-3-030-58666-9_1,Chapter
Detecting Changes in Process Behavior Using Comparative Case Clustering,Data-Driven Process Discovery and Analysis,,,,10.1007/978-3-319-53435-0_3,B. F. A. HompesJ. C. A. M. BuijsWil M. P. van der AalstP. M. DixitJ. Buurman,2017,http://link.springer.com/chapter/10.1007/978-3-319-53435-0_3,Chapter
What makes a good process model?,Software & Systems Modeling,,11.0,4,10.1007/s10270-012-0265-9,W. M. P. van der Aalst,2012,http://link.springer.com/article/10.1007/s10270-012-0265-9,Article
Operational Support,Process Mining,,,,10.1007/978-3-662-49851-4_10,Wil van der Aalst,2016,http://link.springer.com/chapter/10.1007/978-3-662-49851-4_10,Chapter
Streaming Process Discovery and Conformance Checking,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_103,Andrea Burattin,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_103,ReferenceWorkEntry
Re-learning of Business Process Models from Legacy System Using Incremental Process Mining,Enterprise Information Systems,,,,10.1007/978-3-319-09492-2_19,André Cristiano KalsingCirano IochpeLucinéia Heloisa ThomGleison Samuel do Nascimento,2014,http://link.springer.com/chapter/10.1007/978-3-319-09492-2_19,Chapter
Efficient Declarative-Based Process Mining Using an Enhanced Framework,Complex Pattern Mining,,,,10.1007/978-3-030-36617-9_8,Stefano FerilliSergio Angelastro,2020,http://link.springer.com/chapter/10.1007/978-3-030-36617-9_8,Chapter
Process Automation and Process Mining in Manufacturing,Business Process Management,,,,10.1007/978-3-030-85469-0_1,Stefanie Rinderle-MaJuergen Mangler,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_1,Chapter
Event Log Cleaning for Business Process Analytics,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_87,Andreas Solti,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_87,ReferenceWorkEntry
A Practical Approach for Process Mining in Production Processes,Innovations in Enterprise Information Systems Management and Engineering,,,,10.1007/978-3-319-58801-8_8,Christine NatschlägerFelix KossakChristian LettnerVerena GeistAndreas DenkmayrBeate Käferböck,2017,http://link.springer.com/chapter/10.1007/978-3-319-58801-8_8,Chapter
Visualizing Business Process Evolution,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-030-49418-6_12,Anton YeshchenkoDina BayomieSteven GrossJan Mendling,2020,http://link.springer.com/chapter/10.1007/978-3-030-49418-6_12,Chapter
"Lights, Camera, Action! Business Process Movies for Online Process Discovery",Business Process Management Workshops,,,,10.1007/978-3-319-15895-2_34,Andrea BurattinMarta CimitileFabrizio Maria Maggi,2015,http://link.springer.com/chapter/10.1007/978-3-319-15895-2_34,Chapter
Event Streams,Process Mining Techniques in Business Environments,,,,10.1007/978-3-319-17482-2_7,Andrea Burattin,2015,http://link.springer.com/chapter/10.1007/978-3-319-17482-2_7,Chapter
Advanced Process Discovery Techniques,Process Mining,,,,10.1007/978-3-662-49851-4_7,Wil van der Aalst,2016,http://link.springer.com/chapter/10.1007/978-3-662-49851-4_7,Chapter
Conformance Checking,Process Mining,,,,10.1007/978-3-662-49851-4_8,Wil van der Aalst,2016,http://link.springer.com/chapter/10.1007/978-3-662-49851-4_8,Chapter
Interactive Process Mining in IoT and Human Behaviour Modelling,Interactive Process Mining in Healthcare,,,,10.1007/978-3-030-53993-1_13,Juan J. LullJosé L. BayoMohsen ShiraliMona GhassemianCarlos Fernandez-Llatas,2021,http://link.springer.com/chapter/10.1007/978-3-030-53993-1_13,Chapter
Production at the Leading Edge of Technology,Lecture Notes in Production Engineering,,,,10.1007/978-3-030-78424-9,Prof. Dr. Bernd-Arno BehrensProf. Dr. Alexander BrosiusProf. Dr. Welf-Guntram DrosselProf. Dr. Wolfgang HintzeProf. Dr. Steffen IhlenfeldtProf. Dr. Peter Nyhuis,2022,http://link.springer.com/book/10.1007/978-3-030-78424-9,Book
Detecting and Identifying Data Drifts in Process Event Streams Based on Process Histories,Information Systems Engineering in Responsible Information Systems,,,,10.1007/978-3-030-21297-1_21,Florian StertzStefanie Rinderle-Ma,2019,http://link.springer.com/chapter/10.1007/978-3-030-21297-1_21,Chapter
Data Quality Assessment to Apply Process Mining in Production Processes,Production at the Leading Edge of Technology,,,,10.1007/978-3-030-78424-9_57,Henning NeumannMoritz Müller-RodenSeth SchmitzAndreas GützlaffGünther Schuh,2022,http://link.springer.com/chapter/10.1007/978-3-030-78424-9_57,Chapter
Generating Reliable Process Event Streams and Time Series Data Based on Neural Networks,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-030-79186-5_6,Tobias HerbertJuergen ManglerStefanie Rinderle-Ma,2021,http://link.springer.com/chapter/10.1007/978-3-030-79186-5_6,Chapter
Conformance Checking,Process Mining,,,,10.1007/978-3-642-19345-3_7,Wil M. P. van der Aalst,2011,http://link.springer.com/chapter/10.1007/978-3-642-19345-3_7,Chapter
Healthcare Data Visualization,Artificial Intelligence for Information Management: A Healthcare Perspective,,,,10.1007/978-981-16-0415-7_9,M. V. Manoj KumarB. S. PrashanthAditya ShastryH. A. SanjayH. R. Sneha,2021,http://link.springer.com/chapter/10.1007/978-981-16-0415-7_9,Chapter
Visualizing Token Flows Using Interactive Performance Spectra,Application and Theory of Petri Nets and Concurrency,,,,10.1007/978-3-030-51831-8_18,Wil M. P. van der AalstDaniel Tacke Genannt UnterbergVadim DenisovDirk Fahland,2020,http://link.springer.com/chapter/10.1007/978-3-030-51831-8_18,Chapter
Epilogue,Process Mining,,,,10.1007/978-3-662-49851-4_16,Wil van der Aalst,2016,http://link.springer.com/chapter/10.1007/978-3-662-49851-4_16,Chapter
Dynamic Constructs Competition Miner - Occurrence- vs. Time-Based Ageing,Data-Driven Process Discovery and Analysis,,,,10.1007/978-3-319-27243-6_4,David RedlichThomas MolkaWasif GilaniGordon BlairAwais Rashid,2015,http://link.springer.com/chapter/10.1007/978-3-319-27243-6_4,Chapter
Soft Computing and Signal Processing,Advances in Intelligent Systems and Computing,,,,10.1007/978-981-16-1249-7,Dr. V. Sivakumar ReddyDr. V. Kamakshi PrasadJiacun WangDr. K. T. V. Reddy,2022,http://link.springer.com/book/10.1007/978-981-16-1249-7,Book
Enterprise Information Systems,Lecture Notes in Business Information Processing,,,,10.1007/978-3-030-75418-1,Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi,2021,http://link.springer.com/book/10.1007/978-3-030-75418-1,Book
RT-PLG: Real Time Process Log Generator,Information Systems Architecture and Technology: Proceedings of 36th International Conference on Information Systems Architecture and Technology – ISAT 2015 – Part III,,,,10.1007/978-3-319-28564-1_11,Bernardo Nugroho YahyaYohanes KhosiawanWoosik ChoiNgoc Anh Dung Do,2016,http://link.springer.com/chapter/10.1007/978-3-319-28564-1_11,Chapter
Advanced Process Discovery Techniques,Process Mining,,,,10.1007/978-3-642-19345-3_6,Wil M. P. van der Aalst,2011,http://link.springer.com/chapter/10.1007/978-3-642-19345-3_6,Chapter
Are Similar Cases Treated Similarly? A Comparison Between Process Workers,Business Information Systems,,,,10.1007/978-3-030-20482-2_14,Mark PijnenburgWojtek Kowalczyk,2019,http://link.springer.com/chapter/10.1007/978-3-030-20482-2_14,Chapter
A Real-Time Method for Detecting Temporary Process Variants in Event Log Data,Business Process Management,,,,10.1007/978-3-030-85469-0_14,Sudhanshu ChouhanAnna WilbikRemco Dijkman,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_14,Chapter
Advances in Knowledge Discovery and Data Mining,Lecture Notes in Computer Science,,,,10.1007/978-3-030-75762-5,Prof. Kamal KarlapalemHong ChengNaren RamakrishnanR. K. AgrawalP. Krishna ReddyDr. Jaideep SrivastavaAssist. Prof. Tanmoy Chakraborty,2021,http://link.springer.com/book/10.1007/978-3-030-75762-5,Book
Epilogue,Process Mining,,,,10.1007/978-3-642-19345-3_14,Wil M. P. van der Aalst,2011,http://link.springer.com/chapter/10.1007/978-3-642-19345-3_14,Chapter
